용어,설명
상대습도,"상대 습도환경공학용어사전 습한 공기 속에 함유되어 있는 수증기량과 같은 온도에서의 포화 수증기량의 비를 백분율로 나타낸 것을 말한다. 이 값은 습한 공기의 수증기압 e와 같은 온도에서의 포화 공기의 수증기압 E와의 비 백분율과 같다. 즉, R=e/E×100[%]이다. 관계 습도라고도 한다. 단순히 습도라고 할 때는 상대 습도를 가리키는 경우가 많다. 외국어 표기 relative humidity(영어), 相對濕度(한"
"화학작용제 [化學作用劑, Chemical Agent]","화학적 성질에 의하여 인원을 살상, 무능화 또는 심한 피해를 입히기 위해 운용되는 화합물로서 주로 독성 화학제를 말함. 이는 무능화 작용제, 폭동진압 작용제, 살초제 등이 있으며 연막 및 화염은 독성화학 작용제에서 제외됨. 또는 전술적 용도를 기술하기 위해 작용제 지속시간에 따라 지속성 작용제와 비지속성 작용제로 구분함."
마하,마하항공우주공학용어사전 오스트리아의 물리학자인 에른스트 마흐(Ernst Mach)의 이름에서 딴 것으로 물체가 움직이는 매질 내에서 물체가 움직일 때 소리의 속도를 기준으로 하는 상대적인 작동물체의 속도. 마하 0.5는 음속의 반과 같은 속도에 해당한다. 해면고도에서 표준 공기의 음속은 약 1.087ft/sec(741 m.p.h)이다. 외국어 표기 Mach(영어) 마하Basic 중학생이 알아야 할 사회· 과학상식 공기중을
"생물학전 [生物學戰, Biological Warfare]","사람, 동물, 식물을 살상하거나 물자에 피해를 주기 위하여 미생물이나 독소를 고의적으로 운용하는 전쟁의 형태임."
동위원소,"동위원소약과 먹거리로 쓰이는 우리나라 자원식물 화학적 성질은 같으나 질량수가 다른 두 원소이다. 원자는 원자핵과 전자로 이루어져 있고, 원자핵은 +(정)의 전하를 갖는 양자와, 양자와 거의 같은 질량으로 전하가 없는 중성자로 구성되어 있으며 양자의 수는 그 원자에 따라 다양하며 원자번호로 나타낸다. 원자번호는 같으나 질량이 다른(핵 내 중성자수가 다름) 원소를 동위원소라 한다."
"간선 [main line feeder, main line, 幹線]","간선전기용어사전 (1) 총괄국, 중심국, 집중국 또는 그들 상호간을 연결하는 중계선. (2) 철조망의 근간을 이루는 선로. (3) 근간으로 되어 있는 송배전선이라는 뜻, 또는 인입 개폐기와 변전실의 저압 배전반에서 분기 보안장치에 이르는 전선로를 이른다. 외국어 표기 main line, trunk line(영어), 幹線(한자) 동의어 간선로(main line, 幹線路) 간선공조냉동건축설비 용어사전 인입점, 수변전 설비 등의"
"화생방전 [化生放戰, NBC Warfare]","적을 살상하거나 지역 및 전투장비의 사용을 제한시키기 위해 화생방 작용제를 전쟁수단으로 운용하는 일반적 의미의 화학전, 생물학전, 핵 및 방사능전을 총칭함."
절대습도,"절대 습도체육학대사전 공기 중에 현존하는 수증기의 양. 1㎥의 공기 속에 존재하는 g 단위의 수증기 양에 의해서 나타낸다. 일반적으로 습도는 상대 습도(%) 또는 비습(比濕)으로 표시되는 경우가 많은데, 이것은 어떤 기온하에서 수증기가 포화된 상태에서의 절대 습도와의 비(比)이다. 따라서 상대 습도는 포화(최대) 수증기압에 대한 현존 수증기압의 비이기도 하다. 외국어 표기 絶對濕度(한"
"무해통항권 [無害通航權, Right of Innocent Passage]","내수에 들어가지 아니하고 영해를 횡단할 목적으로 또는 내수로부터 공해로 향할 목적으로 영해를 통과하는 권리. 통항과 관련하여 연안국의 평화, 공공질서 또는 안전보장을 침해하지 아니하는 한 해를 받지 않음."
"주파수 [frequency, 周波數]","주파수광용어사전 주기 현상에 있어서 단위 시간 또는 길이 사이에 동일한 상태가 반복되는 횟수. 시간적인 주파수 진동수라고도 한다. 단위는 헤르츠(㎐). 시간적인 주파수와 구별하기 위해서 공간적인 경우는 공간 주파수라 한다. 단위는 lines/㎜ 또는 cycles/㎜. 주파수와 주기는 역수 관계에 있다. 외국어 표기 frequency(영어), 周波數(한자) 참조어 진동수(undefined, 振動數) 주파수지구과학사전"
