term,example
5세대 전투기,"['스텔스 기능을 보유하고 원거리 작전 및 정밀타격 능력이 향상된 5세대 전투기(T-50, PAK-FA)를 개발하여 공군의 주력 전투기로 사용할 예정이다.']"
F-2,"['2011~2015년 「중기방위력정비계획」 기간 중 노후한 F-4의 후속기로 미국의 F-35 도입을 추진 중이며, F-15와 F-2 전투기의 성능개량 작업을 병행하고 있다.']"
IED,"['급조폭발물 (IED : Improvised Explo-sive Device)살상, 파괴, 공격 등을 위해 폭발성 있는 부품을 급조하여 결합한 모든 폭발성 장치를 총칭1.']"
J-20,"['스텔스 전투기(J-20)는 2011년 1월 11일 최초로 시험 비행한 이후 개발을 지속하고 있다.', '현재 3천 여대의 군용 항공기를 보유하고 있으며 Y-20 전략 수송기를 작전 배치하고 J-20 시제기 시험 비행에 이어 J-31 실물을 공개한 바 있다.']"
K-9 자주포,"['K-2 전차, K-9 자주포, 차기 다련장, 한국형 기동헬기, 북한 전역을 타격할 수 있는 미사일 등도 지속적으로 확보해 나갈 계획이다.', '지상전력 분야에서는 K-21 보병전투차량, K-2 전차, 대포병탐지레이더, K-9 자주포 등을 계속 확보해 나가면서 차륜형 전투차량, 차기 다련장 등의 전력을 새로이 확보한다.']"
SM-3,"['같은해12월에는해상배치요격미사일(SM-3) 12)의탄도미사일요격시험을하와이근해에서미·일공동으로실시하였다.', '12) 해상배치요격미사일( SM-3 )탄도미사일요격용미사일로100km 이상고고도에서탄도미사일을요격한다.']"
Su-30,"['향후 다목적 전투기(Su-30SM)와 방공미사일 시스템(S-400), 프랑스제 미스트랄 수송함 등의 배치를 추진하고 있다.']"
T-50,"['셋째, 공중전력은현재진행되고있는고등훈련기(T-50) 양산사업, 한국형기동헬기사업을계속하면서, 대형수송기및경공격기( FA-50 )양산사업을신규로착수한다.', '태국은 T-50 훈련기 수출(2015년 계약) 이후 방산분야 중점협력국으로 발돋움하고 있다.', '다목적 전투기(Su-35) 48대를 2010년부터 2015년까지 전력화하고, 5세대 스텔스 전투기(T-50)를 개발하여 작전 배치할 예정이다.', '스텔스 기능을 보유하고 원거리 작전 및 정밀타격 능력이 향상된 5세대 전투기(T-50, PAK-FA)를 개발하여 공군의 주력 전투기로 사용할 예정이다.']"
강습상륙함,"['그에 따라 항공모함, 순양함, 구축함, 전략핵잠수함과 강습상륙함 등 대형함 건조를 통해 원양작전능력을 향상하고 신속한 전력투사를 위해 해군육전대와 항공전력을 지속 확대하고 있다.']"
공격기,"['FA-50 경공격기에 최초로 적용한 바 있으며, 향후 도입될 주요 무기체계로까지 확대할 것이다.', '셋째, 공중전력은현재진행되고있는고등훈련기(T-50) 양산사업, 한국형기동헬기사업을계속하면서, 대형수송기및경공격기( FA-50 )양산사업을신규로착수한다.', '이에 근거하여 2013년 12월 필리핀 태풍 피해 복구 지원을 위해 아라우부대가 파병되었고, 2014년 3월에는 국산 경공격기(FA-50) 12대를 필리핀에 수출하였다.', '주요전력은에이브라함전차,17) 브래들리장갑차,18) 155미리자주곡사포,다련장로켓과패트리어트19)를포함한지대공유도탄, 아파치헬기,20) F-16전투기, 대전차공격기등이다.']"
